	fi_url	lang	question	model_id	output_text	title	has_fluency_mistakes	has_factual_mistakes
301	https://fi.wikipedia.org/wiki/Dioumaténé	FI	Mitkä ovat Dioumaténén yleisimmät kielet?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Dioumaténéssa puhutaan useita kieliä, joista yleisimmät ovat ranska, djula, djula-béni ja djula-béni (kutsutaan myös nimellä djula-béni tai djula-béni n'goula). Ranskan kieltä puhutaan yleisesti Dioumaténén pääkaupungissa, kun taas djula-béniä ja djula-béni n'goulaa puhutaan ympäröivällä alueella. 	Dioumaténé	n	y
131	https://fi.wikipedia.org/wiki/Geoffroi_de_Villehardouin	FI	Kenen kreivin alaisena Geoffroi de Villehardouin toimi muun muassa Peloponnesoksen ruhtinaana?	LumiOpen/Poro-34B-chat	Geoffroi de Villehardouin palveli useiden kreivien alaisuudessa, mukaan lukien Robert II:n, joka oli Ranskan kuningas Filip II:n veli ja joka oli naimisissa Englannin kuninkaan Henrik II:n sisaren kanssa. Geoffroi oli myös Ranskan kuninkaan Ludvig VII:n ja Englannin kuninkaan Henrik III:n palveluksessa.	Geoffroi de Villehardouin	n	y
377	https://fi.wikipedia.org/wiki/Daler_Mehndi	FI	Mikä Daler Mehndin laulu on tunnettu videopelistä World of Warcraft?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"World of Warcraftin virallinen tunnuslaulu on ""The Battle for Azeroth"", jonka on säveltänyt ja esittänyt yhdysvaltalainen metalliyhtye DragonForce. "	Daler Mehndi	n	y
102	https://fi.wikipedia.org/wiki/Valesapelihammaskissat	FI	Mistä valesapelihammaskissojen fossiileja on löydetty?	LumiOpen/Poro-34B-chat	Valehammaskissojen fossiileja on löydetty Pohjois-Amerikasta, erityisesti Yhdysvaltojen ja Kanadan länsiosista. Niitä on löydetty myös Etelä-Amerikasta, Meksikosta ja Kuubasta. Fossiileja on löydetty useista eri kerrostumista, jotka ovat peräisin myöhäiseltä mioseenikaudelta (noin 11 miljoonaa vuotta sitten) varhaiselle pleistoseenikaudelle (noin 1,8 miljoonaa vuotta sitten).	獵貓科	n	y
454	https://fi.wikipedia.org/wiki/Al-Khobar	FI	Minkä seurauksena Al-Khobar perustettiin?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Al-Khobar on kaupunki Saudi-Arabiassa. Se perustettiin alun perin vuonna 1637 nimellä Al-Qhobar, ja se nimettiin uudelleen Al-Khobariksi vuonna 1791. Kaupunki sijaitsee Al-Qhobar-joen suulla Punaisenmeren rannalla. Al-Khobar on tärkeä satamakaupunki, ja sillä on merkittävä rooli Saudi-Arabian taloudessa. 	Khobar	n	y
63	https://fi.wikipedia.org/wiki/BMW_X2	FI	Missä BMW X2:n konsepti esiteltiin?	LumiOpen/Poro-34B-chat	BMW X2 -konsepti esiteltiin vuoden 2017 Detroit Motor Show'ssa.	BMW X2	n	y
368	https://fi.wikipedia.org/wiki/Stryn_(taajama)	FI	Miksi Stryn taajaman keskustaa kutsutaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Stryn taajaman keskustaa kutsutaan Stryn keskustaksi. 	Stryn (taajama)	n	y
88	https://fi.wikipedia.org/wiki/Formentera	FI	Mistä Formentera tunnetaan?	LumiOpen/Poro-34B-chat	Formentera on pieni saari Välimerellä, joka tunnetaan upeista rannoistaan, kristallinkirkkaista vesistään ja rikkaasta biodiversiteetistään. Se on osa Baleaarien saaria ja sijaitsee aivan Ibizan saaren vieressä. Formentera on yksi Espanjan suosituimmista lomakohteista, ja se tunnetaan erityisesti upeista rannoistaan, kuten La Savina, Cala Llombards ja Cala Sant Francesc. Saarella on myös rikas kulttuuriperintö, ja siellä on useita historiallisia kohteita ja maamerkkejä, kuten Es Castellin arkeologinen alue ja Sant Ferranin luostari. Formentera on myös suosittu kohde vesiurheilusta, kuten purjehduksesta ja sukelluksesta, kiinnostuneille.	福门特拉岛	n	y
387	https://fi.wikipedia.org/wiki/Hevoskastanja	FI	Tuottaako hevoskastanja syötävän hedelmän?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Hevoskastanja ei tuota syötävää hedelmää. Se on puu, joka tuottaa kukkia ja siemeniä, mutta ei hedelmiä. 	Aesculus hippocastanum	n	y
406	https://fi.wikipedia.org/wiki/Gordon_Strachan	FI	Mikä on Gavin Strachanin isän ammatti?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Gavin Strachanin isän ammattia ei tiedetä. 	Gordon Strachan	n	y
399	https://fi.wikipedia.org/wiki/Tateyama	FI	Mitä merkittäviä elinkeinoja Tateyamalla on turismin lisäksi?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Tateyamalla on useita merkittäviä elinkeinoja turismin lisäksi. Joitakin niistä ovat mm:	Tateyama	m	n
292	https://fi.wikipedia.org/wiki/Oxford_University_AFC	FI	Minkä joukkueen Oxford University AFC voitti vuoden 1874 FA Cupin finaalissa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Oxford University AFC (Oxford United) voitti vuoden 1874 FA Cupin finaalin. 	Oxford University AFC	n	n
302	https://fi.wikipedia.org/wiki/Valesapelihammaskissat	FI	Mistä valesapelihammaskissojen fossiileja on löydetty?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Valesapelihammaskissojen fossiileja on löydetty eri puolilta maailmaa, muun muassa Pohjois-Amerikasta, Aasiasta, Euroopasta ja Australiasta. Fossiilit ovat peräisin jura- ja liitukauden väliseltä aikakaudelta, jolloin nämä kissat elivät ja kuolivat sukupuuttoon. 	獵貓科	n	y
252	https://fi.wikipedia.org/wiki/El_Alin_lento_402	FI	Miksi El Alin lento 402 ajautui sivuun reitiltään?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	El Alin lento 402 ajautui sivuun reitiltään useista syistä. Yksi niistä oli huono sää. Lentokone lensi myrskypilvien läpi, ja näkyvyys oli huono. Toinen syy oli se, että lentäjät menettivät suunnan eivätkä tienneet, mihin he olivat menossa. 	以色列航空402號班機空難	n	y
402	https://fi.wikipedia.org/wiki/Iravadi	FI	Mistä Iravadi on mahdollisesti saanut nimensä?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Iravadi on nimi, joka on peräisin sanskritin kielen sanasta ""irava"", joka tarkoittaa ""virtaa"", ja ""vadi"", joka tarkoittaa ""maata"". Tämä nimi on peräisin alueelta, jolla joki virtaa, nimittäin Intian Länsi-Ghatien vuoristosta. "	Iravadi	y	y
397	https://fi.wikipedia.org/wiki/Sagar	FI	Millä lisänimellä Sagaria toisinaan kutsutaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Sagaria kutsutaan joskus myös ""Sagaran kuninkaaksi"". "	Sagar	n	y
563	https://fi.wikipedia.org/wiki/Ruskopäävaris	FI	Tavataanko ruskopäävarista Suomessa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Ruskopäävaris (Corvus ciliatus) on varisten heimoon kuuluva lintulaji, jota tavataan pääasiassa Pohjois-Amerikassa. Sitä ei tavata Suomessa. 	Ruskopäävaris	n	y
210	https://fi.wikipedia.org/wiki/Kovat_kaulassa	FI	Kuka esitti erikoisagentti Peter Burkea sarjassa Kovat Kaulassa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Esittäjä oli Bill Pullman. 	White Collar (TV series)	n	y
111	https://fi.wikipedia.org/wiki/Karen_Percy	FI	Missä alppihiihdon lajeissa Karen Percy saavutti pronssimitalinsa vuoden 1988 olympialaisissa?	LumiOpen/Poro-34B-chat	Karen Percy voitti pronssia vuoden 1988 talviolympialaisissa naisten suurpujottelussa.	Karen Percy	n	y
263	https://fi.wikipedia.org/wiki/BMW_X2	FI	Missä BMW X2:n konsepti esiteltiin?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	BMW X2:n konsepti esiteltiin ensimmäisen kerran Pariisin autonäyttelyssä vuonna 2016. 	BMW X2	n	n
55	https://fi.wikipedia.org/wiki/Gergely_Kulcsár	FI	Missä järjestetyissä EM-kilpailuissa Gergely Kulcsár voitti ensimmäisen arvokisamitalinsa?	LumiOpen/Poro-34B-chat	Gergely Kulcsár voitti ensimmäisen mitalinsa vuoden 2014 Euroopan kisoissa, jotka järjestettiin Unkarin pääkaupungissa Budapestissa. Hän voitti pronssia miesten yksilökilpailussa.	Gergely Kulcsár	m	y
19	https://fi.wikipedia.org/wiki/Red_Bull_Arena_(Salzburg)	FI	"Mitä nimeä Red Bull Arenasta käytettiin vuoden 2008 EM-kilpailujen aikaan?	Minä vuonna Red Bull Arena avattiin?"	LumiOpen/Poro-34B-chat	"Red Bull Arena, joka avattiin vuonna 2009, tunnettiin nimellä ""Saputo Stadium"" vuoden 2008 jalkapallon Euroopan-mestaruuskilpailujen aikana. Tämä oli sen jälkeen, kun kanadalainen yritys Saputo oli tehnyt sopimuksen areenan nimeämisestä sen mukaan."	紅牛體育場 (薩爾斯堡)	n	y
273	https://fi.wikipedia.org/wiki/Norjan_baptistiliitto	FI	Montako seurakuntaa Norjan baptistiliittoon kuului vuonna 2016?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Norjan baptistiliittoon kuului vuonna 2016 yhteensä 24 seurakuntaa. 	Norjan baptistiliitto	n	y
212	https://fi.wikipedia.org/wiki/Chris_Claremont	FI	Mistä sarjakuvasarjasta Chris Claremont erityisesti tunnetaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Chris Claremont tunnetaan parhaiten siitä, että hän loi X-Men-sarjakuvasarjan, joka alkoi vuonna 1972 ja jatkuu edelleen. 	Chris Claremont	n	y
149	https://fi.wikipedia.org/wiki/Omega_Centauri	FI	Kuka löysi Omega Centauri -tähtijoukon?	LumiOpen/Poro-34B-chat	Omega Centaurin löysi sveitsiläinen tähtitieteilijä Henri Dreyer vuonna 1904. Hän oli Geneven observatorion johtaja ja hän teki löytönsä tutkiessaan valokuvia, jotka oli otettu Dreyerin laajakulmaisella teleskoopilla. Löytö julkaistiin Astronomische Nachrichten -julkaisussa.	Omega Centauri	n	y
64	https://fi.wikipedia.org/wiki/Kuuban_miesten_lentopallomaajoukkue	FI	Montako olympiamitalia Kuuban miesten lentopallomaajoukkue on voittanut?	LumiOpen/Poro-34B-chat	Kuuban miesten lentopallomaajoukkue on voittanut kaksi olympiamitalia. Se voitti hopeaa vuoden 1984 olympialaisissa Los Angelesissa ja pronssia vuoden 2008 olympialaisissa Pekingissä.	Kuuban miesten lentopallomaajoukkue	n	y
261	https://fi.wikipedia.org/wiki/Marko_Kiprusoff	FI	Montako maalia Marko Kiprusoff teki NHL-urallaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Kiprusoff teki 1 080 NHL-ottelussa 1 080 maalia. 	Marko Kiprusoff	m	y
120	https://fi.wikipedia.org/wiki/Iranin_presidentinvaalit_2013	FI	Mikä oli Iranin vuoden 2013 presidentinvaalien lopputulos?	LumiOpen/Poro-34B-chat	Vuonna 2013 Iranin presidentinvaalit voitti Hassan Rouhani, joka sai yli 51% äänistä. Hän voitti Mahmoud Ahmadinejadin, joka oli istuva presidentti ja joka sai noin 46% äänistä. Nämä olivat merkittävät vaalit Iranissa, koska ne merkitsivät muutosta kohti sovittelevampaa lähestymistapaa ulkomaailmaan ja parempaa taloudellista tilannetta maassa. Rouhanin voitto nähtiin myös merkkinä nuorten ja kaupunkien äänestäjien kasvavasta vaikutuksesta Iranin politiikassa.	Iranin presidentinvaalit 2013	n	y
221	https://fi.wikipedia.org/wiki/Tapaus-verrokkitutkimus	FI	Kuinka montaa ryhmää tapaus-verrokkitutkimuksessa tarkastellaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Tapaus-verrokkitutkimuksessa tarkastellaan kahta ryhmää: tapauksia ja verrokkeja. Tapaukset ovat henkilöitä, joilla on tietty sairaus, ja verrokit ovat henkilöitä, joilla ei ole kyseistä sairautta. Tapaus-verrokkitutkimuksessa verrataan tapausten ja verrokkien lukumäärää eri ajankohtina. 	Étude cas-témoins	n	n
445	https://fi.wikipedia.org/wiki/Jef_Raskin	FI	Missä yliopistossa Jef Raskin opiskeli?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Jef Raskin opiskeli Yalen yliopistossa. 	Jef Raskin	n	y
29	https://fi.wikipedia.org/wiki/Jääkiekon_maailmanmestaruuskilpailut_1931	FI	Mikä joukkue edusti Yhdysvaltoja vuoden 1931 jääkiekon maailmanmestaruuskilpailuissa?	LumiOpen/Poro-34B-chat	Yhdysvallat ei osallistunut vuoden 1931 jääkiekon maailmanmestaruuskilpailuihin.	Världsmästerskapet i ishockey för herrar 1931	n	y
543	https://fi.wikipedia.org/wiki/Herman_Frazier	FI	Minkä lajin olympiavoittaja Herman Frazier on?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Herman Frazier on nyrkkeilyn raskaan sarjan olympiavoittaja. 	Herman Frazier	n	y
179	https://fi.wikipedia.org/wiki/Terengganun_lippu	FI	Kuvaile lyhyesti Terengganun lippu.	LumiOpen/Poro-34B-chat	Terengganun lippu on suorakulmainen kangas, joka on jaettu kahteen yhtä suureen vaakasuoraan osaan, joista toinen on valkoinen ja toinen punainen. Lipun keskellä on Terengganun sulttaanikunnan sinetti, joka on kuvattu mustalla värillä. Lippu on suunniteltu edustamaan Terengganun sulttaanikunnan yhtenäisyyttä ja suvereniteettia, ja sen värit ovat peräisin sulttaanikunnan tunnuksesta.	Terengganun lippu	n	y
460	https://fi.wikipedia.org/wiki/Kreml	FI	Kuuluuko Pyhän Vasilin kirkko Moskovan kremliin?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Ei, Pyhän Vasilin kirkko ei sijaitse Moskovan Kremlissä. Pyhän Vasilin kirkko sijaitsee Moskovan Kremlin läheisyydessä, mutta se on erillinen rakennus. 	Kremlin (fortification)	n	n
585	https://fi.wikipedia.org/wiki/Charles_Camilleri	FI	Mistä Charles Camilleri on pääosin tunnettu?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Charles Camilleri tunnetaan parhaiten roolistaan tv-sarjassa ""The Good Wife"", jossa hän näytteli asianajaja Claire Pritchettia. "	Charles Camilleri	n	y
106	https://fi.wikipedia.org/wiki/Aston_Martin_V12_Vanquish	FI	Kuka muotoili Aston Martin V12 Vanquishin?	LumiOpen/Poro-34B-chat	Aston Martin V12 Vanquishin muotoilusta vastasi Aston Martinin suunnittelutiimi, jota johti Ian Callum. Callum oli työskennellyt Aston Martinilla vuodesta 1994 ja oli johtanut suunnittelutiimiä vuodesta 2000. Hänen muita tunnettuja töitään Aston Martinille ovat Aston Martin DB9, Aston Martin DBS ja Aston Martin Rapide. V12 Vanquish esiteltiin yleisölle vuoden 2001 Geneven autonäyttelyssä ja se oli tuotannossa vuoteen 2005. Sitä pidetään yhtenä kaikkien aikojen kauneimmista Aston Martineista.	阿斯顿·马丁V12 Vanquish	n	y
531	https://fi.wikipedia.org/wiki/Kollaasi	FI	Mistä kollaasi-sanan historian kerrotaan alkaneen?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Kollaasi-sanan alkuperä juontaa juurensa 1800-luvun lopulle, jolloin taiteilijat alkoivat käyttää kollaasia keinona luoda monimutkaisia kuvioita ja sommitteluja. Termi ""kollaasi"" tulee ranskan kielen sanasta ""coller"", joka tarkoittaa ""liimata"" tai ""liimata"". Tämä termi tuli käyttöön 1900-luvun alussa, kun taiteilijat alkoivat käyttää kollaasia keinona luoda monimutkaisia kuvioita ja sommitteluja."	Collage (art)	n	n
555	https://fi.wikipedia.org/wiki/Vuonankaalit	FI	Mihin kasviheimoon vuonankaalit kuuluvat?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Vuonankaalit kuuluvat ristikukkaisten heimoon. 	Vuonankaalit	n	y
417	https://fi.wikipedia.org/wiki/Mutavaris	FI	Mille alueille mutavariksen levinnäisyys ulottuu?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Mutavariksen levinneisyys ulottuu pääasiassa Pohjois-Amerikkaan, Eurooppaan ja Aasiaan. 	Mutavaris	n	y
